dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTNSL,-42
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTVKL,-490
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,NPSHYD,405
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,NUCLEAR,2997
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,OCGT,50
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,OIL,0
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,OTHER,664
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,PS,24
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,WIND,12357
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,BIOMASS,1148
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,CCGT,5936
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,COAL,0
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTELEC,572
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTEW,-58
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTFR,1228
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTGRNL,0
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTIFA2,-4
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTIRL,-394
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTNED,-210
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTNEM,-2
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTNSL,22
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTVKL,-454
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,NPSHYD,415
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,NUCLEAR,2993
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,OCGT,50
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,OIL,0
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,OTHER,1053
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,PS,38
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,WIND,12347
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,BIOMASS,1072
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,CCGT,5667
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,COAL,0
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTELEC,636
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTEW,0
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTFR,986
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTGRNL,0
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTIFA2,-4
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTIRL,-424
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTNED,-536
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTNEM,-162
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTNSL,290
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTVKL,-186
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,NPSHYD,392
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,NUCLEAR,2993
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,OCGT,50
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,OIL,0
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,OTHER,1541
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,PS,84
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,WIND,12242
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,BIOMASS,1045
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,CCGT,5542
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,COAL,0
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTELEC,652
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTEW,0
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTFR,988
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTGRNL,0
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTIFA2,-4
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTIRL,-284
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTNED,-546
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTNEM,-172
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTNSL,344
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,INTVKL,-172
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,NPSHYD,368
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,NUCLEAR,2988
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,OCGT,51
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,OIL,0
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,OTHER,1623
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,PS,112
FUELHH,2026-06-12T20:30:00Z,2026-06-12T20:00:00Z,2026-06-12,43,WIND,12279
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,BIOMASS,1032
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,CCGT,5638
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,COAL,0
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTELEC,958
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTEW,0
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTFR,1160
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTGRNL,0
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTIFA2,-4
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTIRL,-142
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTNED,-860
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTNEM,-626
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTNSL,630
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,INTVKL,-148
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,NPSHYD,364
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,NUCLEAR,2997
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,OCGT,57
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,OIL,0
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,OTHER,1383
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,PS,-80
FUELHH,2026-06-12T20:00:00Z,2026-06-12T19:30:00Z,2026-06-12,42,WIND,12584
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,BIOMASS,1071
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,CCGT,5275
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,COAL,0
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTELEC,974
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTEW,0
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTFR,1174
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTGRNL,0
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTIFA2,-4
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTIRL,-64
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTNED,-854
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTNEM,-630
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTNSL,640
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,INTVKL,-154
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,NPSHYD,330
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,NUCLEAR,2994
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,OCGT,58
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,OIL,0
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,OTHER,1714
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,PS,268
FUELHH,2026-06-12T19:30:00Z,2026-06-12T19:00:00Z,2026-06-12,41,WIND,12442
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,BIOMASS,1009
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,CCGT,4967
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,COAL,0
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTELEC,996
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTEW,0
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTFR,1424
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTGRNL,0
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTIFA2,-4
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTIRL,0
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTNED,-422
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTNEM,-310
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTNSL,464
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,INTVKL,-268
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,NPSHYD,319
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,NUCLEAR,2994
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,OCGT,58
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,OIL,0
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,OTHER,1581
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,PS,-22
FUELHH,2026-06-12T19:00:00Z,2026-06-12T18:30:00Z,2026-06-12,40,WIND,12658
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,BIOMASS,845
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,CCGT,4176
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,COAL,0
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTELEC,998
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTEW,0
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTFR,1426
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTGRNL,0
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTIFA2,-2
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTIRL,-14
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTNED,-414
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTNEM,-326
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTNSL,408
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,INTVKL,-274
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,NPSHYD,299
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,NUCLEAR,2995
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,OCGT,52
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,OIL,0
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,OTHER,1612
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,PS,-254
FUELHH,2026-06-12T18:30:00Z,2026-06-12T18:00:00Z,2026-06-12,39,WIND,13761
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,BIOMASS,895
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,CCGT,3551
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,COAL,0
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTELEC,996
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTEW,0
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTFR,1308
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTGRNL,0
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTIFA2,-2
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTIRL,0
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTNED,-970
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTNEM,-1000
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTNSL,32
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,INTVKL,-294
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,NPSHYD,291
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,NUCLEAR,2988
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,OCGT,23
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,OIL,0
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,OTHER,1867
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,PS,-302
FUELHH,2026-06-12T18:00:00Z,2026-06-12T17:30:00Z,2026-06-12,38,WIND,13848
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,BIOMASS,1025
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,CCGT,3851
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,COAL,0
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTELEC,996
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTEW,0
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTFR,1306
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTGRNL,0
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTIFA2,-2
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTIRL,22
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTNED,-1052
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTNEM,-1020
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTNSL,-44
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,INTVKL,-286
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,NPSHYD,266
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,NUCLEAR,2993
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,OCGT,2
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,OIL,0
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,OTHER,1494
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,PS,-802
FUELHH,2026-06-12T17:30:00Z,2026-06-12T17:00:00Z,2026-06-12,37,WIND,13475
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,BIOMASS,863
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,CCGT,3792
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,COAL,0
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTELEC,998
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTEW,0
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTFR,1306
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTGRNL,0
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTIFA2,-2
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTIRL,78
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTNED,-858
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTNEM,-1022
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTNSL,-422
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,INTVKL,-128
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,NPSHYD,136
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,NUCLEAR,2984
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,OCGT,3
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,OIL,0
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,OTHER,1594
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,PS,-822
FUELHH,2026-06-12T17:00:00Z,2026-06-12T16:30:00Z,2026-06-12,36,WIND,13049
FUELHH,2026-06-12T16:30:00Z,2026-06-12T16:00:00Z,2026-06-12,35,BIOMASS,652
FUELHH,2026-06-12T16:30:00Z,2026-06-12T16:00:00Z,2026-06-12,35,CCGT,3538
